idx,udsid,sid,data
106,74A,3E,00,00,00,00
107,74A,3E,00,00,00,00
108,74A,3E,00,00,00,00
109,74A,3E,00,00,FF,00
110,74A,3E,00,00,FF,FF
111,74A,3E,FF,FF,FF,FF
112,74A,3E,00,04,00,00
113,74A,3E,00,00,80,01
114,74A,3E,96,00,00,00
115,74A,3E,00,00,FF,00
116,74A,3E,00,FF,FF,00
117,74A,3E,FF,FF,FF,FF
118,74A,3E,00,01,00,00
119,74A,3E,00,01,01,00
120,74A,3E,01,01,01,01
121,74A,3E,FF,00,00,00
122,74A,3E,FF,00,00,FF
123,74A,3E,FF,FF,FF,FF
124,70E,3E,00,00,00,00
125,70E,3E,00,00,40,00
126,70E,3E,60,00,00,00
127,70E,3E,00,96,00,00
128,70E,3E,00,FF,00,00
129,70E,3E,00,FF,FF,00
130,70E,3E,FF,FF,FF,FF
131,70E,3E,00,00,00,01
132,70E,3E,00,01,01,00
133,70E,3E,01,01,01,01
134,70E,3E,00,00,FF,00
135,70E,3E,FF,00,00,FF
136,70E,3E,FF,FF,FF,FF
137,70E,3E,00,00,00,00
138,70E,3E,00,00,00,00
139,70E,3E,00,00,00,00
140,70E,3E,00,00,00,FF
141,70E,3E,00,FF,FF,00
142,70E,3E,FF,FF,FF,FF
143,70E,3E,08,00,00,00
144,70E,3E,30,00,00,00
145,70E,3E,00,00,96,00
146,70E,3E,00,00,FF,00
147,70E,3E,00,00,FF,FF
148,70E,3E,FF,FF,FF,FF
149,70E,3E,00,00,01,00
150,70E,3E,00,01,01,00
151,70E,3E,01,01,01,01
152,70E,3E,00,FF,00,00
153,70E,3E,FF,00,00,FF
154,70E,3E,FF,FF,FF,FF
155,74A,3D,00,00,00,00
156,74A,3D,00,00,00,04
157,74A,3D,03,00,00,00
158,74A,3D,00,60,09,00
159,74A,3D,00,00,00,FF
160,74A,3D,00,00,FF,FF
161,74A,3D,FF,FF,FF,FF
162,74A,3D,01,00,00,00
163,74A,3D,00,00,01,01
164,74A,3D,01,01,01,01
165,74A,3D,00,FF,00,00
166,74A,3D,00,00,FF,FF
167,74A,3D,FF,FF,FF,FF
168,74A,3D,00,00,00,00
169,74A,3D,00,00,00,00
170,74A,3D,00,00,00,00
171,74A,3D,00,00,00,FF
172,74A,3D,00,00,FF,FF
173,74A,3D,FF,FF,FF,FF
174,74A,3D,00,00,00,10
175,74A,3D,00,00,60,00
176,74A,3D,09,00,00,60
177,74A,3D,FF,00,00,00
178,74A,3D,FF,FF,00,00
179,74A,3D,FF,FF,FF,FF
180,74A,3D,01,00,00,00
181,74A,3D,00,00,01,01
182,74A,3D,01,01,01,01
183,74A,3D,00,00,00,FF
184,74A,3D,FF,00,00,FF
185,74A,3D,FF,FF,FF,FF
186,70E,31,00,00,00,00
187,70E,31,00,00,00,40
188,70E,31,01,00,00,80
189,70E,31,00,00,00,4B
190,70E,31,FF,00,00,00
191,70E,31,FF,00,00,FF
192,70E,31,FF,FF,FF,FF
193,70E,31,01,00,00,00
194,70E,31,00,00,01,01
195,70E,31,01,01,01,01
196,70E,31,00,FF,00,00
197,70E,31,FF,FF,00,00
198,70E,31,FF,FF,FF,FF
199,70E,31,00,00,00,00
200,70E,31,00,00,00,00
201,70E,31,00,00,00,00
202,70E,31,00,FF,00,00
203,70E,31,FF,FF,00,00
204,70E,31,FF,FF,FF,FF
205,70E,31,00,00,00,40
206,70E,31,0C,00,00,00
207,70E,31,04,00,00,B0
208,70E,31,FF,00,00,00
209,70E,31,FF,FF,00,00
210,70E,31,FF,FF,FF,FF
211,70E,31,01,00,00,00
212,70E,31,00,00,01,01
213,70E,31,01,01,01,01
214,70E,31,00,00,FF,00
215,70E,31,FF,FF,00,00
216,70E,31,FF,FF,FF,FF
217,74A,37,00,00,00,00
218,74A,37,01,00,00,00
219,74A,37,00,00,00,18
220,74A,37,00,00,96,00
221,74A,37,FF,00,00,00
222,74A,37,00,FF,FF,00
223,74A,37,FF,FF,FF,FF
224,74A,37,00,00,01,00
225,74A,37,00,00,01,01
226,74A,37,01,01,01,01
227,74A,37,00,00,FF,00
228,74A,37,FF,00,00,FF
229,74A,37,FF,FF,FF,FF
230,74A,37,00,00,00,00
231,74A,37,00,00,00,00
232,74A,37,00,00,00,00
233,74A,37,FF,00,00,00
234,74A,37,00,00,FF,FF
235,74A,37,FF,FF,FF,FF
236,74A,37,00,08,00,00
237,74A,37,00,00,00,60
238,74A,37,80,25,00,00
239,74A,37,00,00,00,FF
240,74A,37,FF,00,00,FF
241,74A,37,FF,FF,FF,FF
242,74A,37,00,01,00,00
243,74A,37,00,00,01,01
244,74A,37,01,01,01,01
245,74A,37,00,00,FF,00
246,74A,37,00,00,FF,FF
247,74A,37,FF,FF,FF,FF
248,70E,2F,00,00,00,00
249,70E,2F,00,00,02,00
250,70E,2F,80,01,00,00
251,70E,2F,00,00,96,00
252,70E,2F,00,00,00,FF
253,70E,2F,00,FF,FF,00
254,70E,2F,FF,FF,FF,FF
255,70E,2F,01,00,00,00
256,70E,2F,01,01,00,00
257,70E,2F,01,01,01,01
258,70E,2F,FF,00,00,00
259,70E,2F,00,FF,FF,00
260,70E,2F,FF,FF,FF,FF
261,70E,2F,00,00,00,00
262,70E,2F,00,00,00,00
263,70E,2F,00,00,00,00
264,70E,2F,FF,00,00,00
265,70E,2F,00,FF,FF,00
266,70E,2F,FF,FF,FF,FF
267,70E,2F,80,00,00,00
268,70E,2F,00,18,00,00
269,70E,2F,00,00,58,02
270,70E,2F,00,00,00,FF
271,70E,2F,FF,FF,00,00
272,70E,2F,FF,FF,FF,FF
273,70E,2F,01,00,00,00
274,70E,2F,00,00,01,01
275,70E,2F,01,01,01,01
276,70E,2F,00,FF,00,00
277,70E,2F,00,00,FF,FF
278,70E,2F,FF,FF,FF,FF
279,74A,36,00,00,00,00
280,74A,36,20,00,00,00
281,74A,36,00,C0,00,00
282,74A,36,00,00,96,00
283,74A,36,00,FF,00,00
284,74A,36,FF,FF,00,00
285,74A,36,FF,FF,FF,FF
